year,month,airline
1974,January,Commonwealth Commuter
1974,January,Turkish Airlines
1974,January,Pan Am
1974,March,Boeing
1974,March,Turkish Airlines
1974,March,Douglas
1974,April,Sierra Pacific Airlines
1974,April,Sterling Airways
1974,April,Sterling Airways
1974,April,Wenela Air Services
1974,July,Douglas
1974,September,Court Line
1974,September,Pan Am
1974,September,Boeing
1974,October,Aeroflot
1974,November,EgyptAir
1974,December,TWA
1974,December,Boeing
1974,December,Eastern Air Lines
1974,December,Douglas
1975,January,Cessna
1975,January,Þyrluflug
1975,January,Turkish Airlines
1975,February,Japan Air Lines
1975,March,Boeing
1975,June,Royal Nepal Airlines
1975,August,Eastern Air Lines
1975,August,Boeing
1975,August,Boeing
1975,September,Boeing
1975,September,ČSA
1975,September,Wien Air Alaska
1975,October,Interflug
1975,November,Garuda Indonesia
1976,January,Boeing
1976,January,Aeroflot
1976,January,Taxi Aereo el Venado
1976,February,Douglas
1976,March,Douglas
1976,April,Aeroflot
1976,April,Aeroflot
1976,May,Alaska Airlines
1976,June,Boeing
1976,June,American Airlines
1976,June,Boeing
1976,June,Aeroflot
1976,July,Aeroflot
1976,August,Air Manila
1976,August,Lockheed
1976,September,Sabah Air
1976,September,Air France
1976,September,ČSA
1976,October,SAETA
1976,October,EgyptAir
1976,October,Aeroflot
1976,November,Aeroflot
1976,November,British Airways
1976,December,Hawker Siddeley
1976,December,Inex-Adria Aviopromet
1976,December,Douglas
1977,January,Aeroflot
1977,January,Japan Air Lines
1977,January,Douglas
1977,February,Japan Airlines
1977,March,Linjeflyg
1977,April,Aeroflot
1977,April,Boeing
1977,May,KLM
1977,May,Pan Am
1977,May,Southern Airways
1977,July,Douglas
1977,September,Delta Air Lines
1977,September,Lockheed
1977,September,Aeroflot
1977,October,Dan-Air
1977,October,Boeing
1977,November,Aeroflot
1977,December,Aeroflot
1977,December,Malév
1977,December,Japan Airlines
1977,December,Douglas
1977,December,Japan Airlines
1977,December,Douglas
1978,January,Air India
1978,February,Boeing
1978,March,Pacific Western Airlines
1978,March,Boeing
1978,March,Continental Airlines
1978,March,Douglas
1978,April,Línea Aeropostal Venezolana
1978,May,Hawker Siddeley
1978,May,China Airlines
1978,June,Boeing
1978,June,Balkan Bulgarian
1978,August,Korean Air
1978,August,Boeing
1978,September,National Airlines
1978,September,Boeing
1978,September,Aeroflot
1978,September,Air Canada
1978,September,Douglas
1978,October,Helikopter Service
1978,November,Olympic Airways
1978,December,Boeing
1978,December,LOT
1978,December,Air Rhodesia
1979,January,Varig
1979,February,Boeing
1979,February,Air Rhodesia
1979,March,Air New Zealand
1979,March,Boeing
1979,March,Aeroflot
1979,March,Interflug
1979,April,Quebecair
1979,April,TWA
1979,May,Boeing
1979,May,SAETA
1979,June,American Airlines
1979,June,Douglas
1979,July,Downeast
1979,July,Air New England
1979,July,American Airlines
1979,August,Boeing
1979,August,Boeing
1979,September,Garuda Indonesia
1979,October,Lufthansa
1979,October,Boeing
1979,November,Dan-Air
1979,November,Hawker Siddeley
1979,November,Dniprodzerzhynsk mid
1979,November,Aeroflot
1979,December,Aeroflot
1980,January,Iran Air
1980,February,Boeing
1980,February,Advance Airlines
1980,March,China Airlines
1980,April,Boeing
1980,April,LOT
1980,April,Transbrasil
1980,June,Boeing
1980,June,Dan-Air
1980,July,Boeing
1980,August,Thai Airways
1980,September,Hawker Siddeley
1980,November,Air Wisconsin
1980,November,Itavia
1980,December,Douglas
1981,March,Pakistan International Airlines
1981,March,Boeing
1981,May,Garuda Indonesia
1981,May,Douglas
1981,June,Aer Lingus
1981,June,Boeing
1981,July,Austral Líneas Aéreas
1981,July,Aeroflot
1981,July,Dan-Air
1981,August,Hawker Siddeley
1981,August,Soviet Air
1981,August,Somali Airlines
1981,August,Aeromexico
1981,September,Bristow Helicopters
1981,September,Far Eastern Air Transport
1981,September,Boeing
1981,October,Aeroflot
1981,November,Aeropesca Colombia
1981,November,Aeroflot
1981,December,Eastern Air Lines
1982,January,Air Florida
1982,January,Boeing
1982,February,World Airways
1982,February,Douglas
1982,March,Japan Airlines
1982,March,Douglas
1982,March,Pilgrim Airlines
1982,April,Widerøe
1982,May,Aeropesca Colombia
1982,June,CAAC
1982,June,Hawker Siddeley
1982,June,VASP
1982,June,Boeing
1982,June,VASP
1982,July,Boeing
1982,July,TABA
1982,August,Air India
1982,August,Boeing
1982,August,British Airways
1982,September,Boeing
1982,September,Aeroflot
1982,September,Aeroflot
1982,December,Pan Am
1982,December,Boeing
1983,January,United Airlines
1983,January,Douglas
1983,March,Turkish Airlines
1983,May,Boeing
1983,June,Avensa
1983,June,Douglas
1983,July,Eastern Air Lines
1983,July,Lockheed
1983,July,Air Canada
1983,July,Douglas
1983,August,Reeve Aleutian Airways
1983,September,Lockheed
1983,September,Chosonminhang
1983,September,TAME
1983,October,Boeing
1983,November,British Airways
1983,November,Air Canada
1983,November,Boeing
1983,November,Aeroflot
1983,December,Korean Air
1983,December,Boeing
1983,December,CAAC
1983,December,Hawker Siddeley
1983,December,Gulf Air
1983,December,Boeing
1984,January,Balkan Bulgarian
1984,February,Serviços Aéreos Cruzeiro do Sul
1984,February,Scandinavian Airlines System
1984,March,Douglas
1984,June,Pacific Western Airlines
1984,July,Boeing
1984,August,Transportes Aéreos Regionais
1984,August,Indian Airlines
1984,August,Vieques Air Link
1984,August,Biman Bangladesh Airlines
1984,September,Indian Airlines
1984,October,Indian Airlines
1984,October,Boeing
1984,December,Emirates
1984,December,Cameroon Airlines
1985,January,Eastern Air Lines
1985,January,Boeing
1985,January,CAAC
1985,February,Galaxy Airlines
1985,February,Lockheed
1985,February,Aeroflot
1985,May,China Airlines
1985,June,Boeing
1985,June,Iberia
1985,June,Boeing
1985,July,Aeroflot
1985,August,Trans World Airlines
1985,August,Boeing
1985,August,Braathens SAFE
1985,August,Boeing
1985,September,Air India
1985,September,Boeing
1985,September,Aeroflot
1985,November,Delta Air Lines
1985,December,Lockheed
1985,December,Japan Air Lines
1986,January,Aerovías Guatemala
1986,January,VASP
1986,February,China Airlines
1986,March,Mexicana de Aviación
1986,April,Boeing
1986,May,Boeing
1986,May,TWA
1986,June,Boeing
1986,July,Air Lanka
1986,August,Lockheed
1986,August,China Airlines
1986,September,Boeing
