,year,month,airline
552,1971,June,Hughes Airwest
553,1971,June,Douglas
554,1971,July,Douglas
555,1971,July,Toa Domestic Airlines
556,1971,July,Aeroflot
557,1971,July,All Nippon Airways
558,1971,August,Boeing
559,1971,September,Pan Am
560,1971,September,Boeing
561,1971,September,Malév
562,1971,October,Alaska Airlines
563,1971,October,Boeing
564,1971,November,Paninternational
565,1971,November,Malév
566,1971,November,British European Airways
567,1971,November,Aeroflot
568,1971,December,Merpati Nusantara
569,1971,December,Aeroflot
570,1972,January,Iberia
571,1972,January,Turkish Airlines
572,1972,January,JAT
573,1972,February,Douglas
574,1972,March,Lufthansa
575,1972,March,Boeing
576,1972,March,Mohawk Airlines
577,1972,May,Sterling Airways
578,1972,May,Emirates
579,1972,May,EgyptAir
580,1972,May,Douglas
581,1972,June,Alitalia
582,1972,June,Douglas
583,1972,June,Eastern Air Lines
584,1972,June,Boeing
585,1972,June,Eastern Air Lines
586,1972,June,Sabena
587,1972,July,Boeing
588,1972,August,Aeroflot
589,1972,August,American Airlines
590,1972,August,Douglas
591,1972,September,Japan Airlines
592,1972,October,Douglas
593,1972,October,Cathay Pacific
594,1972,October,British European Airways
595,1972,October,Hawker Siddeley
596,1972,October,Prinair
597,1972,October,Air Wisconsin
598,1972,November,Pan Am
599,1972,November,Boeing
600,1972,December,Interflug
601,1972,December,Burma Airways
602,1972,December,Douglas
603,1972,December,Aeroflot
604,1972,December,Japan Airlines
605,1972,December,Douglas
606,1972,December,Aeroflot
607,1973,January,Aeroflot
608,1973,January,Boeing
609,1973,January,EgyptAir
610,1973,February,Aeroflot
611,1973,February,Libyan Arab Airlines
612,1973,February,Boeing
613,1973,March,Aeroflot
614,1973,March,Balkan Bulgarian
615,1973,April,Iberia
616,1973,May,Douglas
617,1973,May,Spantax
618,1973,May,Invicta International Airlines
619,1973,June,Aeroflot
620,1973,June,Aeroflot
621,1973,July,Indian Airlines
622,1973,July,Boeing
623,1973,July,Royal Nepal Airlines
624,1973,July,Royal Nepal Airlines
625,1973,July,Aeroméxico
626,1973,August,Douglas
627,1973,August,Varig
628,1973,August,Boeing
629,1973,August,Pan Am
